               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.046146,            0.044979,           0.0045457,             0.75507,              0.8341,             0.85502,              0.5374,            0.034007,            0.028656,           0.0020926,             0.00307,             0.00307,             0.00307
                  37,            0.046963,            0.053525,           0.0045626,             0.62696,             0.73355,             0.74587,             0.45822,            0.038822,             0.02763,           0.0019847,            0.002872,            0.002872,            0.002872
                  38,            0.050905,            0.045752,           0.0043075,              0.7328,             0.81189,             0.83684,             0.53596,             0.03692,            0.025906,            0.001899,            0.002674,            0.002674,            0.002674
                  39,            0.049835,            0.051626,           0.0047256,             0.78251,             0.84117,             0.88144,             0.54863,            0.035013,            0.025566,           0.0018974,            0.002476,            0.002476,            0.002476
                  40,            0.048066,            0.057429,            0.004515,             0.79486,             0.84498,             0.88273,             0.56752,            0.033472,            0.025689,           0.0018343,            0.002278,            0.002278,            0.002278
                  41,            0.045224,            0.045824,           0.0044848,             0.76528,             0.87089,             0.87304,             0.52783,            0.035488,            0.025888,           0.0017967,             0.00208,             0.00208,             0.00208
                  42,            0.045228,            0.050931,             0.00459,             0.77011,             0.83945,             0.86636,             0.55625,            0.032816,            0.025762,           0.0017425,            0.001882,            0.001882,            0.001882
                  43,            0.045223,            0.052567,           0.0046111,             0.79066,             0.84221,             0.88607,             0.58319,            0.032141,            0.025846,           0.0016884,            0.001684,            0.001684,            0.001684
                  44,            0.041562,            0.045954,           0.0038076,             0.79411,             0.85602,             0.89185,             0.60335,             0.03169,            0.025537,           0.0016564,            0.001486,            0.001486,            0.001486
                  45,            0.044135,            0.047207,           0.0037179,             0.77774,             0.85636,              0.8975,             0.60726,            0.031281,            0.025585,           0.0016284,            0.001288,            0.001288,            0.001288
                  46,            0.042435,            0.039868,           0.0039747,             0.78777,             0.85504,             0.90349,             0.61704,            0.031114,            0.025581,           0.0015901,             0.00109,             0.00109,             0.00109
                  47,            0.042349,            0.052537,           0.0033623,             0.80797,             0.85264,             0.91165,             0.62735,            0.031045,             0.02511,           0.0015273,            0.000892,            0.000892,            0.000892
                  48,            0.041833,            0.050444,            0.003449,             0.81692,              0.8445,             0.91505,             0.63713,             0.03097,            0.024817,            0.001528,            0.000694,            0.000694,            0.000694
                  49,             0.04305,            0.045989,           0.0042441,             0.82512,             0.83758,             0.91561,             0.64547,            0.030947,            0.024644,           0.0015208,            0.000496,            0.000496,            0.000496
